From,To,Term,Result,Score
Chemical Name,InChIKey,"Calcium",OYPRJOBELJOOCE-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Uracil",ISAKRJDGNUQOIC-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"GDP-L-fucose",LQEBEXMHBLQMDB-QIXZNPMTSA-N,1
Chemical Name,InChIKey,"L-Glutamine",ZDXPYRJPNDTMRX-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Palmitoyl-CoA (n-C16:0CoA)",MNBKLUUYKPBKDU-BBECNAHFSA-J,1
Chemical Name,InChIKey,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)",FTCITDHJQWUTEF-GGTDZKDPSA-N,0
Chemical Name,InChIKey,"Oxidized glutathione",YPZRWBKMTBYPTK-BJDJZHNGSA-N,1
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",RPXHXZNGZBHSMJ-GOSISDBHSA-N,1
Chemical Name,InChIKey,"Stearoyl-CoA (n-C18:0CoA)",SIARJEKBADXQJG-LFZQUHGESA-J,1
Chemical Name,InChIKey,"Sucrose C12H22O11",CZMRCDWAGMRECN-UGDNZRGBSA-N,1
Chemical Name,InChIKey,"L-fuculose",QZNPNKJXABGCRC-LFRDXLMFSA-N,1
Chemical Name,InChIKey,"Hydrogen sulfide",RWSOTUBLDIXVET-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"S-Adenosylmethioninamine",ZUNBITIXDCPNSD-LSRJEVITSA-N,1
Chemical Name,InChIKey,"Cadmium",BDOSMKKIYDKNTQ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Beta D-Galactose",WQZGKKKJIJFFOK-FPRJBGLDSA-N,1
Chemical Name,InChIKey,"CDP-1,2-ditetradecanoylglycerol",ICFWXMWHAMIZGF-WNAWUNHNSA-N,0
Chemical Name,InChIKey,"Nitrate",NHNBFGGVMKEFGY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"UDP-N-acetylmuramoyl-L-alanine",NTMMCWJNQNKACG-KBKUWGQMSA-N,1
Chemical Name,InChIKey,"Hexanoate (n-C6:0)",FUZZWVXGSFPDMH-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate",QZKSQRMITRSRFM-QUNHHUOXSA-L,1
Chemical Name,InChIKey,"4-Methyl-5-(2-phosphoethyl)-thiazole",OCYMERZCMYJQQO-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"DUTP C9H11N2O14P3",AHCYMLUZIRLXAA-SHYZEUOFSA-N,1
Chemical Name,InChIKey,"1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide",QOUSHGMTBIIAHR-KEOHHSTQSA-N,1
Chemical Name,InChIKey,"3-Dehydroquinate",WVMWZWGZRAXUBK-SYTVJDICSA-N,1
